mapping,mix_ratio,seed,final_task_1_bwt,final_mean_prior_bwt
linear,0.0,7,122.99519130587578,-12.000530415773392
linear,0.0,8,197.51373755931854,45.92255338728428
linear,0.0,9,75.79186460375786,14.281954330205917
linear,0.25,7,59.25621148943901,70.50827076733113
linear,0.25,8,187.16058039665222,68.05254281759262
linear,0.25,9,232.29562425613403,98.97713389992714
linear,0.5,7,96.69921371340752,65.61860508322715
linear,0.5,8,192.94710779190063,61.886043295264244
linear,0.5,9,179.8806917667389,77.25169514417648
linear,0.75,7,97.32243511080742,62.67888132929802
linear,0.75,8,173.0646641254425,82.05455658435821
linear,0.75,9,191.0897011756897,127.81653150320054
