curriculum_source,mapping,vm_selection_strategy,selected_vm_count,stage,checkpoint,mean,std,p95,min,max,smd_vs_checkpoint_1,ks_vs_checkpoint_1,measurable_shift
azure,linear_raw,per_checkpoint_dense,32,1,1,2.906917686193762,0.5183798405005576,3.7157148122787476,2.309765338897705,4.307990074157715,,,False
azure,linear_raw,per_checkpoint_dense,32,2,25,1.8286379626819065,0.1487126140889154,2.070084524154663,1.5728932619094849,2.340724468231201,-2.827642624766048,0.9857142857142858,True
azure,linear_raw,per_checkpoint_dense,32,3,50,2.5492773941704923,0.9444671481906594,4.825296401977539,0.47125086188316345,5.5694804191589355,-0.46945583245144923,0.5492957746478874,True
azure,linear_raw,per_checkpoint_dense,32,4,75,1.5698669603892734,0.3086308071996311,2.2913019776344297,1.2495871782302856,2.37473464012146,-3.134221671633443,0.9428571428571428,True
azure,linear_raw,per_checkpoint_dense,32,5,100,2.0858246496745516,0.47549560865195506,2.957092428207397,1.474130392074585,3.4547736644744873,-1.6507697223340618,0.6716297786720322,True
azure,linear_raw,per_checkpoint_dense,32,6,125,2.6632465680440265,0.3033157270237288,3.2802298545837396,2.1985392570495605,3.457505464553833,-0.5737663747481834,0.3699530516431925,True
azure,linear,per_checkpoint_dense,32,1,1,2.906917686193762,0.5183798405005576,3.7157148122787476,2.309765338897705,4.307990074157715,,,False
azure,linear,per_checkpoint_dense,32,2,25,1.8286379626819065,0.1487126140889154,2.070084524154663,1.5728932619094849,2.340724468231201,-2.827642624766048,0.9857142857142858,True
azure,linear,per_checkpoint_dense,32,3,50,2.5492773941704923,0.9444671481906594,4.825296401977539,0.47125086188316345,5.5694804191589355,-0.46945583245144923,0.5492957746478874,True
azure,linear,per_checkpoint_dense,32,4,75,1.5698669603892734,0.3086308071996311,2.2913019776344297,1.2495871782302856,2.37473464012146,-3.134221671633443,0.9428571428571428,True
azure,linear,per_checkpoint_dense,32,5,100,2.0858246496745516,0.47549560865195506,2.957092428207397,1.474130392074585,3.4547736644744873,-1.6507697223340618,0.6716297786720322,True
azure,linear,per_checkpoint_dense,32,6,125,2.6632465680440265,0.3033157270237288,3.2802298545837396,2.1985392570495605,3.457505464553833,-0.5737663747481834,0.3699530516431925,True
azure,convex,per_checkpoint_dense,32,1,1,1.7088283854471127,0.5410483447197191,2.4783523082733154,1.1191365718841553,3.2561025619506836,,,False
azure,convex,per_checkpoint_dense,32,2,25,0.7964607570852552,0.13415699505336812,1.0188815295696259,0.5843762159347534,1.362065076828003,-2.3146870783866342,0.9857142857142858,True
azure,convex,per_checkpoint_dense,32,3,50,1.1743519860254208,0.86864482027131,3.477479577064514,0.1657140552997589,4.055292129516602,-0.7386058107292752,0.7323943661971831,True
azure,convex,per_checkpoint_dense,32,4,75,0.552981697661536,0.2431927340126435,1.1057331919670104,0.3364261984825134,1.3034141063690186,-2.755626780762225,0.9571428571428572,True
azure,convex,per_checkpoint_dense,32,5,100,0.8436289770262582,0.3925583364198829,1.6542606353759763,0.41849297285079956,1.8329236507415771,-1.8304482095829764,0.8142857142857143,True
azure,convex,per_checkpoint_dense,32,6,125,1.1514194594489204,0.2829927655460747,1.800817775726318,0.7687678337097168,1.8803508281707764,-1.2910419509912876,0.6607198748043819,True
azure,threshold,per_checkpoint_dense,32,1,1,3.7801571261714884,1.4835692572577317,5.715714931488037,2.309765338897705,6.307990074157715,,,False
azure,threshold,per_checkpoint_dense,32,2,25,1.8286379626819065,0.1487126140889154,2.070084524154663,1.5728932619094849,2.340724468231201,-1.8510109363676313,0.9857142857142858,True
azure,threshold,per_checkpoint_dense,32,3,50,2.8873055631845768,1.610437291866818,6.825296401977539,0.47125086188316345,7.5694804191589355,-0.5766645218145231,0.5492957746478874,True
azure,threshold,per_checkpoint_dense,32,4,75,1.5984383889607021,0.4354282549837552,2.3406837344169618,1.2495871782302856,4.211600303649902,-1.995549599200339,0.9285714285714286,True
azure,threshold,per_checkpoint_dense,32,5,100,2.3143960782459803,0.9671879335433551,4.697156763076782,1.474130392074585,5.049117088317871,-1.1704701913671662,0.6716297786720322,True
azure,threshold,per_checkpoint_dense,32,6,125,2.707691012488471,0.48948694824050476,3.3065384864807124,2.1985392570495605,5.3090362548828125,-0.970850768052471,0.4143974960876369,True
