mapping,seed,checkpoint,stage,naive_task_1_reward,replay_task_1_reward,reactive_stage_reward,naive_rolling_bwt,replay_rolling_bwt,naive_forgetting,replay_forgetting
threshold,7,1,1,-509.20416021347046,-509.20416021347046,-512.2088867704073,0.0,0.0,0.0,0.0
threshold,7,25,2,-725.5279899835587,-307.06707763671875,-421.0449046611784,-216.3238297700882,202.1370825767517,216.3238297700882,0.0
threshold,7,50,3,-359.0071153640747,-308.5768812298775,-545.1814626355963,150.19704484939575,200.627278983593,0.0,0.0
threshold,7,75,4,-347.0723719596863,-246.96021246910095,-463.5113219380379,162.13178825378418,262.2439477443695,0.0,0.0
threshold,7,100,5,-415.80935007333755,-255.5358483195305,-471.68865617116285,93.3948101401329,253.66831189393997,0.0,0.0
threshold,7,125,6,-321.8415351510048,-275.54123133420944,-301.14272646903976,187.36262506246567,233.66292887926102,0.0,0.0
threshold,8,1,1,-256.1316074728966,-256.1316074728966,-512.2088867704073,0.0,0.0,0.0,0.0
threshold,8,25,2,-347.7650621533394,-242.6041613817215,-421.0449046611784,-91.63345468044281,13.52744609117508,91.63345468044281,0.0
threshold,8,50,3,-337.5414720773697,-169.8095600605011,-545.1814626355963,-81.40986460447311,86.32204741239548,81.40986460447311,0.0
threshold,8,75,4,-404.9923532009125,-169.8095600605011,-463.5113219380379,-148.8607457280159,86.32204741239548,148.8607457280159,0.0
threshold,8,100,5,-386.2003720998764,-147.4480659365654,-471.68865617116285,-130.06876462697983,108.68354153633118,130.06876462697983,0.0
threshold,8,125,6,-264.5138002038002,-187.61710453033447,-301.14272646903976,-8.382192730903625,68.5145029425621,8.382192730903625,0.0
threshold,9,1,1,-418.12678503990173,-418.12678503990173,-512.2088867704073,0.0,0.0,0.0,0.0
threshold,9,25,2,-593.7115998268127,-303.24604856967926,-421.0449046611784,-175.584814786911,114.88073647022247,175.584814786911,0.0
threshold,9,50,3,-357.099042057991,-219.60120260715485,-545.1814626355963,61.027742981910706,198.5255824327469,0.0,0.0
threshold,9,75,4,-495.905167222023,-160.7011530995369,-463.5113219380379,-77.77838218212128,257.42563194036484,77.77838218212128,0.0
threshold,9,100,5,-336.51363784074783,-169.8095600605011,-471.68865617116285,81.6131471991539,248.31722497940063,0.0,0.0
threshold,9,125,6,-763.8934605121613,-176.62411457300186,-301.14272646903976,-345.7666754722595,241.50267046689987,345.7666754722595,0.0
